date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:30:20	40317/40317	---M--	200	added ('OK')	image/jpeg	etag:%221b87bfc1abd58ba6b2c11fcf8b711dd8%22	https://ichef.bbci.co.uk/images/ic/512xn/p0hvhyly.jpg	C:/Users/user/Downloads/Pension/ichef.bbci.co.uk/images/ic/512xn/p0hvhyly.jpg	(from https://www.bbc.com/news/articles/cjmmj7r0v2go.amp)
18:30:20	267922/267922	---M--	200	added ('OK')	image/png	etag:%223b274a3d25137249f50ad4e592e516d5%22	https://ichef.bbci.co.uk/ace/ws/640/cpsprodpb/c6b4/live/c2189270-171f-11ef-ad69-676287513c31.png	C:/Users/user/Downloads/Pension/ichef.bbci.co.uk/ace/ws/640/cpsprodpb/c6b4/live/c2189270-171f-11ef-ad69-676287513c31.png	(from https://www.bbc.com/news/articles/cjmmj7r0v2go.amp)
18:30:21	35453/35453	---M--	200	added ('OK')	image/jpeg	etag:%22d6abee88be42b0ebee7978dd0407e98c%22	https://ichef.bbci.co.uk/ace/ws/640/cpsprodpb/d8d9/live/baf9c150-110a-11ef-a190-bb979758150a.jpg	C:/Users/user/Downloads/Pension/ichef.bbci.co.uk/ace/ws/640/cpsprodpb/d8d9/live/baf9c150-110a-11ef-a190-bb979758150a.jpg	(from https://www.bbc.com/news/articles/cj5ll89dy2mo.amp)
18:30:21	27234/27234	---M--	200	added ('OK')	image/jpeg	etag:%22ffc02dd1dd60ca84a93d4914dad7b6b2%22	https://ichef.bbci.co.uk/ace/ws/640/cpsprodpb/2480/live/9a026c90-110a-11ef-a190-bb979758150a.jpg	C:/Users/user/Downloads/Pension/ichef.bbci.co.uk/ace/ws/640/cpsprodpb/2480/live/9a026c90-110a-11ef-a190-bb979758150a.jpg	(from https://www.bbc.com/news/articles/cj5ll89dy2mo.amp)
18:30:21	18464/18464	---M--	200	added ('OK')	image/jpeg	etag:%2226323489473077764cf8930a37a2b654%22	https://ichef.bbci.co.uk/ace/ws/640/cpsprodpb/99e0/live/20f6eaa0-110b-11ef-a190-bb979758150a.jpg	C:/Users/user/Downloads/Pension/ichef.bbci.co.uk/ace/ws/640/cpsprodpb/99e0/live/20f6eaa0-110b-11ef-a190-bb979758150a.jpg	(from https://www.bbc.com/news/articles/cj5ll89dy2mo.amp)
18:30:21	180744/180744	---M--	200	added ('OK')	image/jpeg	etag:%22b21244dc034990bd155d24ef73c72f48%22	https://ichef.bbci.co.uk/news/1024/branded_news/5198/live/787c8410-0c83-11ef-a38b-3938a1c533d9.jpg	C:/Users/user/Downloads/Pension/ichef.bbci.co.uk/news/1024/branded_news/5198/live/787c8410-0c83-11ef-a38b-3938a1c533d9.jpg	(from https://www.bbc.com/news/articles/c72p5epzj2no)
18:30:22	104094/104094	---M-Z	200	added ('OK')	text/html	etag:W/%221969e-y42614nHKTt7b/w1aUPB27l4gfE%22	https://www.bbc.com/news/articles/c72p5epzj2no.amp	C:/Users/user/Downloads/Pension/www.bbc.com/news/articles/c72p5epzj2no-2.html	(from https://www.bbc.com/news/articles/c72p5epzj2no)
18:30:22	80155/80155	---M--	200	added ('OK')	image/jpeg	etag:%220d5789124ee42e2469aa24943936d519%22	https://ichef.bbci.co.uk/news/1024/branded_news/16f0/live/9b921d80-0868-11ef-bee9-6125e244a4cd.jpg	C:/Users/user/Downloads/Pension/ichef.bbci.co.uk/news/1024/branded_news/16f0/live/9b921d80-0868-11ef-bee9-6125e244a4cd.jpg	(from https://www.bbc.com/news/articles/ckv7yk88q0go)
18:30:22	127372/127372	---M-Z	200	added ('OK')	text/html	etag:W/%221f18c-uvqMyaUwHF6icEmLZu0J6zgnz0I%22	https://www.bbc.com/news/articles/ckv7yk88q0go.amp	C:/Users/user/Downloads/Pension/www.bbc.com/news/articles/ckv7yk88q0go-2.html	(from https://www.bbc.com/news/articles/ckv7yk88q0go)
18:30:23	67992/67992	---M--	200	added ('OK')	image/jpeg	etag:%22b21244dc034990bd155d24ef73c72f48%22	https://ichef.bbci.co.uk/ace/ws/640/cpsprodpb/5198/live/787c8410-0c83-11ef-a38b-3938a1c533d9.jpg	C:/Users/user/Downloads/Pension/ichef.bbci.co.uk/ace/ws/640/cpsprodpb/5198/live/787c8410-0c83-11ef-a38b-3938a1c533d9.jpg	(from https://www.bbc.com/news/articles/c72p5epzj2no.amp)
18:30:23	34936/34936	---M--	200	added ('OK')	image/jpeg	etag:%22461ee2603e85823b8944f8d84b1321fb%22	https://ichef.bbci.co.uk/ace/ws/640/cpsprodpb/314a/live/59b4d920-0868-11ef-996e-29ade0d99634.jpg	C:/Users/user/Downloads/Pension/ichef.bbci.co.uk/ace/ws/640/cpsprodpb/314a/live/59b4d920-0868-11ef-996e-29ade0d99634.jpg	(from https://www.bbc.com/news/articles/ckv7yk88q0go.amp)
18:30:23	270255/270255	---M--	200	added ('OK')	image/png	etag:%22ef3022c231996f53b1f37da29f92ff64%22	https://ichef.bbci.co.uk/ace/ws/640/cpsprodpb/e7f7/live/b544f560-0861-11ef-8002-198ca5ebd7b0.png	C:/Users/user/Downloads/Pension/ichef.bbci.co.uk/ace/ws/640/cpsprodpb/e7f7/live/b544f560-0861-11ef-8002-198ca5ebd7b0.png	(from https://www.bbc.com/news/articles/ckv7yk88q0go.amp)
18:30:23	47836/47836	---M--	200	added ('OK')	image/jpeg	etag:%22db6036ade46e26f6d63eb7cdeb3aff22%22	https://ichef.bbci.co.uk/ace/ws/660/cpsprodpb/8847/production/_126978843_japan_missile_epa.jpg	C:/Users/user/Downloads/Pension/ichef.bbci.co.uk/ace/ws/660/cpsprodpb/8847/production/_126978843_japan_missile_epa.jpg	(from https://www.bbc.com/news/articles/ckv7yk88q0go.amp)
18:30:24	23867/23867	---M--	200	added ('OK')	image/jpeg	etag:%22305e9dcee67c7d4cba63757ae8ec3a5f%22	https://ichef.bbci.co.uk/ace/ws/660/cpsprodpb/10946/production/_132401976_8a0709e77e852116213774b086d8164e0122804f.jpg	C:/Users/user/Downloads/Pension/ichef.bbci.co.uk/ace/ws/660/cpsprodpb/10946/production/_132401976_8a0709e77e852116213774b086d8164e0122804f.jpg	(from https://www.bbc.com/news/articles/ckv7yk88q0go.amp)
